TimesH,Frame,1,2,3,4,5,6
21.26,21.26,0.001,0.0019,0.0017,0.0013,0.0022,0.0016
21.51,21.51,0.001,0.0019,0.0018,0.0015,0.0022,0.0016
21.76,21.76,0.0014,0.0018,0.002,0.0016,0.0024,0.0019
22.01,22.01,0.0009,0.0017,0.0014,0.001,0.002,0.0018
22.26,22.26,0.0006,0.002,0.0012,0.0011,0.0017,0.0018
22.52,22.52,0.0009,0.0019,0.0016,0.0015,0.0017,0.002
22.77,22.77,0.001,0.002,0.0016,0.0016,0.0023,0.0019
23.02,23.02,0.0009,0.0016,0.0018,0.0015,0.0023,0.0019
23.27,23.27,0.0007,0.002,0.0018,0.0018,0.0023,0.0023
23.52,23.52,0.0011,0.0021,0.0017,0.0016,0.0027,0.002
23.77,23.77,0.0014,0.0021,0.0022,0.0018,0.0027,0.0027
24.02,24.02,0.0014,0.002,0.0018,0.0015,0.0028,0.0021
24.27,24.27,0.0015,0.002,0.0021,0.0019,0.003,0.002
24.52,24.52,0.0013,0.002,0.0017,0.0021,0.0026,0.0022
24.77,24.77,0.0011,0.0023,0.0018,0.002,0.0029,0.0022
25.02,25.02,0.0012,0.0019,0.0019,0.002,0.0034,0.0022
25.27,25.27,0.0011,0.0027,0.002,0.0023,0.003,0.0021
25.52,25.52,0.0009,0.0025,0.002,0.002,0.0024,0.0026
25.77,25.77,0.0015,0.0024,0.0023,0.0021,0.0037,0.0024
26.02,26.02,0.0014,0.0025,0.0018,0.002,0.0027,0.0025
26.27,26.27,0.0011,0.0025,0.002,0.0019,0.0029,0.0022
26.52,26.52,0.0014,0.0022,0.0022,0.002,0.0036,0.0023
26.77,26.77,0.0013,0.0025,0.0021,0.002,0.0032,0.0019
27.02,27.02,0.0013,0.0023,0.0021,0.0016,0.0036,0.0026
27.27,27.27,0.001,0.0025,0.0016,0.0021,0.003,0.0025
27.52,27.52,0.0012,0.0025,0.0019,0.0021,0.003,0.0022
27.77,27.77,0.0011,0.0026,0.0021,0.0019,0.0033,0.0021
28.02,28.02,0.001,0.0018,0.0021,0.0016,0.0028,0.0022
28.27,28.27,0.001,0.0024,0.0019,0.0019,0.003,0.0022
28.52,28.52,0.0012,0.0024,0.0021,0.0018,0.0033,0.0021
28.77,28.77,0.0013,0.0021,0.002,0.0022,0.0032,0.002
29.02,29.02,0.0011,0.002,0.0019,0.0019,0.0031,0.0021
29.27,29.27,0.0012,0.0019,0.0018,0.0021,0.0029,0.0024
29.52,29.52,0.0015,0.002,0.002,0.0023,0.0032,0.0024
29.77,29.77,0.0012,0.002,0.0013,0.0016,0.0029,0.0019
30.02,30.02,0.0018,0.0025,0.0022,0.0017,0.0028,0.0021
30.27,30.27,0.0008,0.0018,0.0016,0.0017,0.0028,0.0021
30.52,30.52,0.0011,0.0015,0.0018,0.0016,0.0024,0.0022
30.77,30.77,0.0016,0.0018,0.0019,0.0013,0.0028,0.0017
31.02,31.02,0.001,0.0019,0.0017,0.0016,0.0028,0.002
31.27,31.27,0.001,0.0019,0.0018,0.0019,0.0026,0.0021
31.52,31.52,0.001,0.002,0.0019,0.002,0.0025,0.0019
31.77,31.77,0.0006,0.0016,0.0013,0.0021,0.0025,0.0017
32.02,32.02,0.0013,0.0016,0.0013,0.0016,0.0025,0.0017
32.27,32.27,0.0005,0.0016,0.0015,0.0013,0.0022,0.0015
32.52,32.52,0.0007,0.0013,0.0015,0.0012,0.0026,0.0014
32.77,32.77,0.001,0.0015,0.0012,0.0015,0.0021,0.0015
33.02,33.02,0.0007,0.0014,0.0013,0.0012,0.002,0.0016
33.27,33.27,0.0009,0.0015,0.0015,0.0013,0.0023,0.0014
33.52,33.52,0.001,0.0012,0.0012,0.0014,0.0023,0.0016
33.77,33.77,0.0007,0.0014,0.0012,0.0014,0.0017,0.0017
34.02,34.02,0.001,0.0016,0.001,0.0012,0.0019,0.0013
34.27,34.27,0.001,0.0012,0.0012,0.0015,0.0021,0.0015
34.52,34.52,0.001,0.0015,0.0014,0.0011,0.0023,0.0017
34.77,34.77,0.001,0.0014,0.0011,0.0011,0.002,0.0013
35.02,35.02,0.0008,0.0019,0.001,0.0013,0.0022,0.0016
35.27,35.27,0.0008,0.0016,0.0013,0.0012,0.0019,0.0012
35.52,35.52,0.0009,0.0018,0.0012,0.0016,0.0017,0.0013
35.77,35.77,0.0009,0.0013,0.0012,0.0012,0.0017,0.0013
36.02,36.02,0.0007,0.0012,0.0008,0.001,0.0016,0.0013
36.27,36.27,0.0009,0.0014,0.0012,0.001,0.0018,0.001
