TimesH,Frame,NoMissing,1,1,2,2,3,3,4,4,5,5,6,6
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0,0,,2.365,2.574,,,3.7,2.61,2.079,3.406,2.153,2.607,3.302,2.607
1,1,,2.368,2.576,,,3.696,2.574,2.094,3.38,2.174,2.586,3.328,2.626
2,2,,2.362,2.567,3.145,2.539,3.692,2.561,2.098,3.37,2.17,2.571,3.318,2.613
3,3,,2.359,2.547,3.153,2.533,3.687,2.55,2.102,3.366,2.17,2.553,3.319,2.592
4,4,,2.362,2.543,3.149,2.527,3.695,2.511,2.1,3.36,,,3.316,2.578
5,5,,2.343,2.529,3.137,2.5,3.684,2.51,2.107,3.355,2.174,2.567,3.323,2.584
6,6,,2.337,2.51,3.144,2.513,3.684,2.508,2.1,3.362,2.163,2.561,3.328,2.583
7,7,,2.314,2.502,3.132,2.479,3.69,2.504,2.116,3.355,2.164,2.566,3.334,2.583
8,8,,2.307,2.494,3.15,2.482,3.696,2.505,2.119,3.35,2.174,2.558,3.33,2.579
9,9,,2.302,2.483,3.164,2.463,3.701,2.51,2.115,3.34,2.176,2.575,3.331,2.566
10,10,,2.305,2.477,3.169,2.449,3.702,2.51,2.116,3.336,,,3.328,2.556
11,11,,2.298,2.482,3.169,2.455,3.703,2.512,2.121,3.333,,,3.345,2.558
12,12,,2.294,2.465,3.172,2.453,3.695,2.51,2.131,3.329,,,,
13,13,,2.276,2.458,3.203,2.453,3.701,2.507,2.083,3.315,,,,
14,14,,2.273,2.467,,,3.687,2.499,2.107,3.331,,,3.429,2.528
15,15,,2.26,2.46,,,3.689,2.502,2.076,3.282,,,3.432,2.537
16,16,,2.253,2.471,,,3.69,2.483,2.088,3.302,,,3.402,2.569
17,17,,2.252,2.452,,,,,2.088,3.294,,,3.394,2.585
18,18,,2.252,2.429,3.3,2.475,,,2.078,3.288,2.275,2.507,3.394,2.584
19,19,,2.25,2.426,3.297,2.466,,,2.084,3.286,2.268,2.502,3.385,2.571
20,20,,2.266,2.364,3.287,2.468,,,2.092,3.283,2.268,2.502,3.391,2.56
21,21,,2.262,2.373,3.298,2.465,,,,,,,3.4,2.564
22,22,,2.265,2.358,3.308,2.461,,,2.094,3.262,2.455,2.424,3.43,2.656
23,23,,2.271,2.361,3.316,2.468,3.66,2.465,2.088,3.265,2.469,2.433,,
24,24,,2.262,2.373,3.339,2.499,3.665,2.437,2.094,3.261,,,,
25,25,,2.258,2.361,3.33,2.479,,,2.094,3.263,,,3.425,2.644
26,26,,2.254,2.371,3.344,2.485,,,2.099,3.26,2.471,2.4,3.421,2.644
27,27,,2.249,2.367,3.334,2.492,3.623,2.541,2.088,3.247,2.482,2.39,3.406,2.646
28,28,,2.253,2.39,3.33,2.489,3.617,2.511,2.088,3.25,2.485,2.406,3.406,2.643
29,29,,2.268,2.392,3.333,2.485,3.618,2.518,2.095,3.249,2.493,2.402,3.416,2.613
30,30,,2.275,2.394,3.329,2.471,3.619,2.52,2.095,3.24,2.482,2.413,3.412,2.62
31,31,,2.268,2.388,3.329,2.47,,,2.09,3.236,2.499,2.384,3.398,2.621
32,32,,2.264,2.382,3.323,2.469,,,2.097,3.235,2.481,2.395,,
33,33,,2.262,2.377,3.33,2.469,,,2.089,3.225,2.488,2.43,,
34,34,,2.268,2.375,3.313,2.453,,,2.091,3.221,2.489,2.425,,
35,35,,2.261,2.371,3.359,2.444,,,2.087,3.215,2.496,2.42,,
36,36,,2.241,2.35,,,,,2.077,3.203,2.493,2.414,,
