TimesH,Frame,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
2.5,2.5,0.0002,0.0003,0.0002,0.0003,0.0005,0.0002,0.0004,0.0003,0.0009,0.0003,0.0005,8.06E-05,1.47E-05,0.0006,0.0003,0.0006,0.0012,0.0008,0.0002,0.0004,0.0001,0,0.0002,0.0003,0.0005,0.0007,2.75E-05,0.0005,4.13E-05,0.0008,0.0005,0.0006,0.0006,0.0006,9.44E-05,0.0006,0.0005,0.0007,6.29E-05,0.0008,0.0011,0.0008,0.0001,0.0009,0.0005,0.0005,9.34E-05,0.0004,0.0011,0.0008,0.0004,0.0004,0.0002,0.0023,0.0013,0.004,0.0006,0.0007,0.0005,0.0002,0.0004,0.0008,0.0015,0.0003,0,0,3.93E-06,0,0,0,0,3.93E-06,0,0,0,0,3.24E-05,0,8.85E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29E-05,0
2.75,2.75,0.0009,0,0.0003,0.0003,0.0008,9.24E-05,0.0005,0.0006,0.0011,0.0005,0.0005,0.0005,0.0001,0.0003,0.0009,0.0006,0.0012,0.0004,0.0003,0.0003,0.0004,0.0002,0.0003,0.0007,0.0011,0.0004,0.0003,0.0004,0.0004,0.0003,0.0006,0.0009,0.0007,0.0006,0.0004,0.0003,0.0004,0.0008,0.0004,0.0004,0.0007,0.0008,0,0.0004,0.0006,0.0002,8.85E-06,0.0007,0.0009,0.0007,0,0.0003,0,0.0018,0.0015,0.0035,0.0007,0.0005,0.0004,4.03E-05,0.0003,0.001,0.0005,0.0006,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03E-05,0,0,0,0,0,7.67E-05,0,4.92E-06,0,5.11E-05,0,0.0001,0,2.36E-05,0.0001,0
3,3,0.0007,0.0006,0.0002,0.0003,0.0005,0.0005,0.0004,0.0009,0.0009,0.0007,0.0005,0.0001,0.0003,0.0005,0.001,0.0006,0.0012,0.0004,0.0004,0.0001,0.0001,0,9.04E-05,0.0003,0.0005,0.0006,2.26E-05,0,0.0003,0.0006,0.0005,0.0002,0.0008,0.0004,0.0003,0.0001,0.0006,0.0007,0.0004,0.0002,0.0012,0.0007,0.0004,0.0002,0.0006,0.0006,0.0002,0.0007,0.0013,0.0008,0.0004,0.0004,0.0002,0.0021,0.0019,0.0037,0.001,0.0008,0.0003,0.0002,0.0006,0.0013,0.0009,0,4.62E-05,0.0001,7.08E-05,0.0003,0,8.55E-05,2.26E-05,0.0001,0,3.54E-05,0,0,0,3.15E-05,1.97E-06,0,9.14E-05,0,0,0,0,3.93E-06,0,0,0,0,0,0,0,0,0,0
3.25,3.25,0.0005,0.0003,0.0002,0.0001,0.0003,0.0005,0.0002,0.001,0.0009,0.0009,0.0005,0.0005,0.0002,0.0006,0.0009,0.0006,0.0013,0.0008,0,0.0003,0.0002,0.0002,0.0004,0.0007,0.0012,0.0009,9.24E-05,0.0005,0.0002,0.0009,0.0008,0.0002,0.0008,0.0007,0.0002,0.0007,0.0002,0.0008,0.0002,0.0006,0.0011,0.0008,0.0005,0.0004,0.0007,0.0003,0.0004,0.0005,0.0013,0.0008,0.0008,0.0003,0.0004,0.0021,0.0017,0.0032,0.0005,0.0007,0.0004,5.41E-05,0.0005,0.0008,0.0007,0.0002,0.0002,0,4.62E-05,0,0,6.88E-05,5.41E-05,0,0,0,0.0001,0,0,0,0,0,0,2.36E-05,8.36E-05,0,0.0003,0,0,2.26E-05,0.0002,0,0,0,0.0002,0,0.0002,7.77E-05
3.5,3.5,0.0007,0.0005,9.83E-05,0.0005,0.0011,0.0009,0.0008,0.0007,0.001,0.0005,0.0004,0.0004,0.0006,0.0008,0.0006,0.001,0.0012,0.001,0.0005,0.0007,0.0003,0.0006,0.0004,0.0005,0.0012,0.0009,0.0001,0.0007,0.0003,0.0007,0.0008,0.0006,0.0006,0.0009,0.0002,0.0006,0.0003,0.0008,0.0004,0.0006,0.0011,0.0011,0.0004,0.0008,0.0006,0.0004,0.0004,0.0011,0.0011,0.0007,0.0004,0.0005,0,0.0021,0.0017,0.0035,0.0006,0.0011,0.0002,0.0004,0.0003,0.0009,0.001,0.0001,4.91E-05,0,0,0,0,0.0001,0,0,0,0,0,6.68E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.75,3.75,0.0004,0.0001,0.0003,0.0002,0.0004,0.0006,0.0005,0.0006,0.0008,0.0005,0.0004,0,0.0003,0.0002,0.0005,0.0003,0.0008,0.0004,5.01E-05,3.34E-05,0.0001,0,0.0001,0.0005,0.0011,0.0004,0,0.0001,0,0.0003,0.0005,0.0005,0.0006,0.0005,5.90E-06,0.0004,5.31E-05,0.0003,0.0002,0.0005,0.001,0.0006,0.0004,0.0003,0.0006,0.0004,0,0.0007,0.0011,0.0007,0.0002,0.0002,0,0.0019,0.0011,0.0033,0.0005,0.0007,4.62E-05,7.96E-05,0.0002,0.001,0.0005,0.0001,0,0,0,0,0,0,0,0,0,0.0002,0,0.0001,0,0.0001,0,0,0.0002,0.0002,0.0001,0,0.0001,0,0.0002,0.0002,0,7.08E-05,7.37E-05,0.0002,7.18E-05,0,0.0003,0
4,4,0.0006,0.0004,0.0006,2.46E-05,0.0007,0.0007,0.001,0.0007,0.0013,0.0005,0.0003,7.67E-05,0.0003,0.0007,0.001,0.0006,0.0013,0.0005,0.0002,0.0005,0.0003,0.0003,0.0006,0.0007,0.0009,0.0006,0.0002,0.0003,0.0002,0.0009,0.0006,0.0007,0.0011,0.0008,0.0004,0.0003,7.96E-05,0.0005,0.0002,0.0004,0.0011,0.0007,9.53E-05,0.0001,0.0004,0.0002,0.0002,0.0004,0.0008,0.0006,0.0001,6.68E-05,0,0.0019,0.0012,0.0029,0.0005,0.0006,0.0002,0.0002,0.0003,0.0012,0.0006,0.0001,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,2.36E-05,5.21E-05,0,0,6.09E-05,0,0,0,0.0001,0,0,0,0,0,0,0,0
4.25,4.25,0.0006,0.0003,0.0004,0.0001,0.0002,0.0003,0.0007,0.0004,0.0012,0.0009,0.0005,0.0003,0.0002,0.0007,0.0009,0.0009,0.0008,0.0008,5.01E-05,0.0002,0.0001,0.0001,0.0006,0.0004,0.0009,0.0006,0.0003,0.0002,0.0003,0.0005,0.0004,0.0011,0.0005,0.0008,0.0003,0.0004,0.0002,0.0008,0.0006,0.0002,0.0014,0.0006,0.0004,0.0005,0.0007,0.0007,0.0002,0.0008,0.0007,0.0009,4.52E-05,6.39E-05,0,0.0015,0.0014,0.0029,0.0002,0.0004,6.88E-05,2.75E-05,0.0004,0.001,0.001,0.0002,0,0,0,0,0,0,0,0,1.97E-06,0,0,0.0002,0,0,0,0,0,0,0,2.36E-05,0,0,0,0.0001,0,0,0,0,0,0,0.0002,0
4.5,4.5,0.0007,0.0002,0.0004,0.0001,0.0004,0.0006,0.0008,0.0006,0.0011,0.0006,0.0004,0.0004,0.0003,0.0006,0.0009,0.0008,0.0011,0.0005,0.0006,0.0003,0.0004,0.0004,0.0005,0.0006,0.0009,0.0005,7.67E-05,0,0.0002,0.0005,0.001,0.0003,0.0005,0.0004,1.77E-05,0,0.0002,0.0003,0.0001,0.0002,0.0011,0.0005,6.09E-05,0.0001,0.0004,0.0001,9.83E-05,0.0006,0.001,0.0005,0.0002,0.0003,0,0.002,0.0013,0.0028,0.0006,0.0006,0.0004,0,0.0003,0.0009,0.0005,0.0001,5.50E-05,2.56E-05,0.0004,0,0.0003,0,7.86E-06,2.75E-05,0.0003,0,9.24E-05,0,0,0.0002,0.0002,0,2.06E-05,0.0002,0.0002,2.65E-05,0,7.08E-05,0.0002,0,0,0,0,3.54E-05,0,0,0,3.54E-05
4.75,4.75,0.0002,0.0002,0,3.83E-05,0,0.0005,0.0006,0.0004,0.0007,0.0004,0.0001,6.68E-05,0,4.72E-05,0.0009,0.0004,0.0011,0.0003,0.0001,5.80E-05,0.0002,6.39E-05,0.0008,0.0006,0.001,0.0009,0.0001,0.0002,0.0003,0.0002,0.0007,0.0002,0.0004,0.0006,0.0002,0.0003,0.0003,0.0011,0.0005,0.0002,0.001,0.0006,0,0.0004,0.0004,0.0007,0.0002,0.0006,0.0011,0.0008,9.34E-05,0.0004,0,0.0021,0.0015,0.0034,0.0007,0.0008,0.0001,0.0003,0.0003,0.001,0.0006,0.0003,9.83E-05,0,0,0,0,6.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
